sensor_device_id,sensor_lat,sensor_lon
eui-a840412d195a9820,-34.392585,-70.810322
eui-a8404173735a97b9,-34.395053,-70.808878
eui-a84041c4b85a9824,-34.394529,-70.809554
eui-a84041fb6f5a97c2,-34.3948449,-70.8106818
eui-a84041e0585a9814,-34.39584,-70.809428
eui-a840417a575a97d1,-34.393338,-70.810927
eui-a8404143045a981b,-34.396738,-70.808265
eui-a84041bc985a985f,-34.395692,-70.808574
eui-a8404192975a9857,-34.394867,-70.807983
eui-a8404115dc5a985a,-34.39696,-70.807363
eui-a840410a205a9822,-34.3938,-70.809943
eui-a84041e90b5a9848,-34.396426,-70.806445
eui-a84041746d5a9803,-34.397441,-70.807687
eui-a84041a8155a98a7,-34.395383,-70.810355
eui-a8404123e65a97d2,-34.396357,-70.809189
eui-a84041143e5a988e,-34.394376,-70.811666
eui-a840411c4d5a9860,-34.395717,-70.807519
eui-a8404146415a97ba,-34.393661,-70.809204
