archivo,fecha,crs,resolucion,ancho,alto
2025-07-06_S2C_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-07-06 14:38:11,EPSG:32719,"(10.0, 10.0)",504,498
2025-07-08_S2A_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-07-08 14:38:01,EPSG:32719,"(10.0, 10.0)",504,498
2025-07-11_S2B_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-07-11 14:37:49,EPSG:32719,"(10.0, 10.0)",504,498
2025-07-16_S2C_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-07-16 14:38:11,EPSG:32719,"(10.0, 10.0)",504,498
2025-07-21_S2B_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-07-21 14:37:49,EPSG:32719,"(10.0, 10.0)",504,498
2025-07-26_S2C_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-07-26 14:38:11,EPSG:32719,"(10.0, 10.0)",504,498
2025-07-28_S2A_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-07-28 14:38:01,EPSG:32719,"(10.0, 10.0)",504,498
2025-07-31_S2B_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-07-31 14:37:39,EPSG:32719,"(10.0, 10.0)",504,498
2025-08-05_S2C_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-08-05 14:38:01,EPSG:32719,"(10.0, 10.0)",504,498
2025-08-10_S2B_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-08-10 14:37:49,EPSG:32719,"(10.0, 10.0)",504,498
2025-08-15_S2C_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-08-15 14:38:01,EPSG:32719,"(10.0, 10.0)",504,498
2025-08-17_S2A_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-08-17 14:38:01,EPSG:32719,"(10.0, 10.0)",504,498
2025-08-20_S2B_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-08-20 14:37:49,EPSG:32719,"(10.0, 10.0)",504,498
2025-08-25_S2C_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-08-25 14:38:01,EPSG:32719,"(10.0, 10.0)",504,498
2025-08-30_S2B_orbit_096_tile_19HCB_L2A_band_TCI.tif,2025-08-30 14:37:49,EPSG:32719,"(10.0, 10.0)",504,498
