nombre_banda,count,mean,std,min,25%,50%,75%,max
AOT,15.0,154.13333333333333,100.31085019411742,59.0,82.5,119.0,203.5,353.0
B01,15.0,2032.8666666666666,2194.8323029551116,249.0,324.0,880.0,2576.0,7477.0
B02,15.0,2134.4666666666667,2116.4747599543466,358.0,506.0,1058.0,2752.0,7415.0
B03,15.0,2166.9333333333334,1984.474398447921,473.0,600.0,1176.0,2789.0,6994.0
B04,15.0,2264.6,1898.3423144567848,660.0,769.0,1240.0,3027.5,6895.0
B05,15.0,2414.5333333333333,1903.5514502659296,678.0,906.0,1338.0,3319.5,6783.0
B06,15.0,2539.4,1869.3398682040522,778.0,953.5,1563.0,3476.5,6721.0
B07,15.0,2614.4,1829.2132500847774,837.0,1067.5,1621.0,3664.0,6716.0
B08,15.0,2825.266666666667,1846.545209174097,1062.0,1247.5,1985.0,3776.0,6939.0
B09,15.0,3025.733333333333,2375.352408942022,810.0,1320.5,1972.0,3697.0,9177.0
B11,15.0,2769.6,1207.172126441438,1415.0,1991.5,2375.0,2908.0,6000.0
B12,15.0,2478.0,1058.9654655100217,1230.0,1977.0,2065.0,2455.0,5160.0
TCI,15.0,163.4,86.06957318687847,67.0,78.5,126.0,255.0,255.0
WVP,15.0,545.6666666666666,233.4271580070282,213.0,372.5,539.0,686.5,1065.0
